primitive,stage,split,device,physical_coordinate,input_code,ideal_variable,sample_count,mean,variance,miss_rate,multiple_spike_rate,saturation_rate
phi-np,dynamic,calibration,4,134,27.0,27.0,128,1.283912500000004e-05,8.171866141732597e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,28.0,28.0,128,1.2476062500000037e-05,8.776062598425536e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,29.0,29.0,128,1.2210437500000037e-05,1.0650966535433877e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,30.0,30.0,128,1.2297750000000037e-05,7.219193700787948e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,4,134,31.0,31.0,128,1.2185062500000038e-05,7.73254763779529e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,0.0,0.0,128,1.9157250000000038e-05,7.68135433070918e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,1.0,1.0,128,1.899550000000004e-05,7.404018897637887e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,2.0,2.0,128,1.8530187500000037e-05,8.62092244094501e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,3.0,3.0,128,1.813112500000004e-05,9.067664566929093e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,4.0,4.0,128,1.7936375000000035e-05,7.48002362204768e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,5.0,5.0,128,1.7484750000000036e-05,7.636201574803604e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,6.0,6.0,128,1.718168750000004e-05,6.141798031496597e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,7.0,7.0,128,1.6772000000000035e-05,1.1522318110236829e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,8.0,8.0,128,1.6698750000000034e-05,5.6173291338582025e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,9.0,9.0,128,1.6492000000000038e-05,6.20537952755939e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,10.0,10.0,128,1.5918687500000034e-05,8.8357066929141e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,11.0,11.0,128,1.5688000000000037e-05,5.915615748031273e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,12.0,12.0,128,1.5407375000000036e-05,9.806574803150281e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,13.0,13.0,128,1.5242500000000036e-05,6.856440944882344e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,14.0,14.0,128,1.4743812500000037e-05,9.893942913386304e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,15.0,15.0,128,1.4454625000000041e-05,6.791670866142136e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,16.0,16.0,128,1.4240125000000038e-05,9.602719685039615e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,17.0,17.0,128,1.3865750000000037e-05,1.1737190551181638e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,18.0,18.0,128,1.3592375000000036e-05,9.170429921260138e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,19.0,19.0,128,1.3371812500000038e-05,9.966358661417644e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,20.0,20.0,128,1.3160687500000036e-05,9.598188582677774e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,21.0,21.0,128,1.3092625000000035e-05,1.0696527559056121e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,22.0,22.0,128,1.2634437500000035e-05,1.2068843700787772e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,23.0,23.0,128,1.2633937500000036e-05,9.349618503937591e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,24.0,24.0,128,1.2414000000000037e-05,7.550891338583174e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,25.0,25.0,128,1.2284375000000036e-05,8.825636220473291e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,26.0,26.0,128,1.1915062500000039e-05,1.4187552362205638e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,27.0,27.0,128,1.1719062500000037e-05,1.82080122047253e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,28.0,28.0,128,1.1638437500000033e-05,1.302395551181168e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,29.0,29.0,128,1.1389687500000037e-05,1.3835807480315884e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,30.0,30.0,128,1.1136312500000037e-05,1.3344494094489464e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,5,141,31.0,31.0,128,1.0906625000000036e-05,1.7605856692914635e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,0.0,0.0,128,1.9660312500000037e-05,6.80102322834685e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,1.0,1.0,128,1.944631250000004e-05,5.139719291339074e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,2.0,2.0,128,1.9094687500000035e-05,5.975561811023991e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,3.0,3.0,128,1.8653125000000035e-05,6.96629763779559e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,4.0,4.0,128,1.842187500000004e-05,6.920514960630078e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,5.0,5.0,128,1.8197000000000036e-05,5.907250393701266e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,6.0,6.0,128,1.7726750000000038e-05,6.892390551181171e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,7.0,7.0,128,1.7304625000000036e-05,9.147626771653728e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,6,130,8.0,8.0,128,1.7022375000000034e-05,5.0231795275591154e-14,0.0,0.0,0.0
